2 20.960000 59064 1.115492 20.910000 59064 1.118350 21.090000 30260 1.108131 21.010000 29672 1.112649 
4 12.990000 118016 1.881998 13.070000 118032 1.869106 13.050000 30280 1.872312 12.980000 29704 1.883622 
6 9.950000 177072 2.550471 10.050000 177048 2.521016 10.080000 30344 2.512311 9.980000 29692 2.541563 
8 8.750000 236064 2.966382 8.700000 236064 2.986676 8.680000 30456 2.994871 8.740000 29712 2.970419 
